AC_SERIAL,FAULT_DATE,FAULT_LINE_TEXT,FAULT_ID,ACTION_DATE,ACTION_TEXT,REMOVED_PART_NUMBER,REMOVED_PART_SERIAL,INSTALLED_PART_NUMBER,INSTALLED_PART_SERIAL,WDC,WDC Description,TMC,TMC Description,ATC,ATC Description,HMC,HMC Description,P
628724.0,2010-08-19,"""DOOR OPEN"" ADVISORY - ""DOOR OPEN"" CAUTION GROUND CHECKED BY MAINTENANCEPRIOR TO DEPARTURE.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",37856,2010-08-19,TOP DOOR SWITCH CLEANED AND ADJUSTED. GROUND TESTED SERVICEABLE.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN",0
387821.0,2006-11-06,# 2 TRANSFER MODULE TO BE REPLACED DUE TO FAILING LDI TEST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,38177,2006-11-06,#2 TRANSFER MODULE REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE,0
593535.0,2011-05-10,#1 & #2 CROTCH ASSY'S DAMAGED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,37816,2011-05-10,#1 AND #2 ENGINE CROTCH ASSY'S REPLACED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,311,"DAMAGED/DEFECTIVE COMPONENT, BULB, TRANSISTER, IC, FUSE, ECT",0
458276.0,2010-10-25,#1 AC GENERATOR FAIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,38142,2010-10-25,#1 AC GENERATOR REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE,1
215297.0,2009-01-23,#1 AIR DATA COMPUTER FAIL   MEL 34-02 B/3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,38229,2009-01-23,#1 AIR DATA COMPUTER REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE,1
215297.0,2009-04-16,#1 AIR INLET ASSY TO BE REPLACED ANTI CHAFE TAB BENT CAUSING DAMAGETO CROTCH ASSY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,38617,2009-04-16,#1 AIR INLET ASSY REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,311,"DAMAGED/DEFECTIVE COMPONENT, BULB, TRANSISTER, IC, FUSE, ECT",1
841501.0,2010-06-01,#1 AND #2 ENGINE INLETS TO BE INSPECTED FOR WIRE CHAFING.,37829,2010-06-01,#1 AND #2 ENGINE INLETS INSPECTED. NO FAULTS FOUND. WSP 3036425.,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,20,"CUT, WORN, FRAYED, CHAFFED, OR TORN",0
593535.0,2011-04-28,#1 AND #2 HEAT EXCHANGERS CRACKED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,37763,2011-04-28,#2 HEAT EXCHANGER REPLACED. #1 CARRIED FWD TO WSP 1345799.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,190,CRACKED,1
841501.0,2010-07-30,#1 ANTI ICE INTERMITTENT. MEL 30-01 CAT B.,38013,2010-08-03,#1 ENGINE INLET REPLACED.,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE,1
841501.0,2010-08-04,MGB CHP INDICATION DURING GROUND RUNS.,38013,2010-08-04,MGB REPLACED. WSP 3038562.,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT,1
659306.0,2008-10-01,#1 CROSS BLEED VALVE STUCK OPEN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,38405,2008-10-01,VALVE REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,135,"BINDING, STUCK, OR JAMMED",1
537340.0,2009-04-25,#1 CROTCH ASSY FOUND DAMAGED TO BE REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,38550,2009-04-25,#1 CROTCH ASSY REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,311,"DAMAGED/DEFECTIVE COMPONENT, BULB, TRANSISTER, IC, FUSE, ECT",1
458276.0,2010-07-19,#1 DC FLOAT CB POPS WHEN FLOAT SWITCH SET TO ARM POSITIONMEL 32/04 C/D                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,37839,2010-07-19,"EXTENSIVE T/S C/O FOUND A BENT PIN IN CONNECTOR,MAIN CABIN DISCONNECT.THIS PIN IS CONNECTED DIRECTLY TO THE SUSPECT CIRCUIT BREAKER THROUGHTHE FLOAT ARMING SWITCH ON THE CENTER CONSOLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT,0
