AC_SERIAL,FAULT_DATE,FAULT_LINE_TEXT,FAULT_ID,ACTION_DATE,ACTION_TEXT,REMOVED_PART_NUMBER,REMOVED_PART_SERIAL,INSTALLED_PART_NUMBER,INSTALLED_PART_SERIAL,WDC,WDC Description,TMC ,TMC Description,ATC,ATC Description,HMC,HMC Description
628724.0,2010-08-19,"""DOOR OPEN"" ADVISORY - ""DOOR OPEN"" CAUTION GROUND CHECKED BY MAINTENANCEPRIOR TO DEPARTURE.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",37856.0,2010-08-19,TOP DOOR SWITCH CLEANED AND ADJUSTED. GROUND TESTED SERVICEABLE.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
387821.0,2006-11-06,# 2 TRANSFER MODULE TO BE REPLACED DUE TO FAILING LDI TEST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,38177.0,2006-11-06,#2 TRANSFER MODULE REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
593535.0,2011-05-10,#1 & #2 CROTCH ASSY'S DAMAGED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,37816.0,2011-05-10,#1 AND #2 ENGINE CROTCH ASSY'S REPLACED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,311,"DAMAGED/DEFECTIVE COMPONENT, BULB, TRANSISTER, IC, FUSE, ECT"
458276.0,2010-10-25,#1 AC GENERATOR FAIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,38142.0,2010-10-25,Removed: 09041-08025-652  0933-10C57  Installed: 95104-52080-061  7C00-30109,09041-08025-652     ,0933-10C57     ,95104-52080-061     ,7C00-30109     ,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
458276.0,2010-10-25,#1 AC GENERATOR FAIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,38142.0,2010-10-25,#1 AC GENERATOR REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
458276.0,2010-10-25,#1 AC GENERATOR FAIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,38145.0,2010-10-25,Removed: 01755-29800-602  0222  Installed: 20280-55960-130  1704,01755-29800-602     ,222,20280-55960-130     ,1704,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
458276.0,2010-10-25,#1 AC GENERATOR FAIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,38145.0,2010-10-25,#1 GENERATOR CONTROL UNIT REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
215297.0,2009-01-23,#1 AIR DATA COMPUTER FAIL   MEL 34-02 B/3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,38229.0,2009-01-23,Removed: 10270-1730-0030  401  Installed: 10270-1730-0030  501,10270-1730-0030     ,401,10270-1730-0030     ,501,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
215297.0,2009-01-23,#1 AIR DATA COMPUTER FAIL   MEL 34-02 B/3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,38229.0,2009-01-23,#1 AIR DATA COMPUTER REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
215297.0,2009-04-16,#1 AIR INLET ASSY TO BE REPLACED ANTI CHAFE TAB BENT CAUSING DAMAGETO CROTCH ASSY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,38617.0,2009-04-16,Removed: 91042-08323-010  0328-B5400  Installed: 09083-02240-703  B350-00167,91042-08323-010     ,0328-B5400     ,09083-02240-703     ,B350-00167     ,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,311,"DAMAGED/DEFECTIVE COMPONENT, BULB, TRANSISTER, IC, FUSE, ECT"
